Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 5,Financials - Maori Authorities,Total all industries,Total income,Financial performance,Thousand Dollars,2634191,2012,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,330900,2012,1 and 2 and 3 and 5
Table 5,Financials - Maori Authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,437004,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Current assets,Financial position,Thousand Dollars,2459953,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2046827,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Current ratio,Financial ratios,Percent,120.2,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,154320,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,6604212,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,"Government funding, grants, and subsidies",Financial performance,Thousand Dollars,42176,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,23942,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,150484,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,"Interest, dividends, and donations",Financial performance,Thousand Dollars,461873,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Liabilities structure,Financial ratios,Percent,67.7,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Margin on sales of goods for resale,Financial ratios,Percent,41.7,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,201294,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,202786,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,431551,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Other assets,Financial position,Thousand Dollars,6502169,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,2978603,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,1611409,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Quick ratio,Financial ratios,Percent,98.8,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Return on equity,Financial ratios,Percent,5.7,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Return on total assets,Financial ratios,Percent,3.9,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,366541,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,2400153,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,10540914,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,604451,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,77700,2013,1 and 2 and 3 and 5
Table 5,Financials - Maori Authorities,Total all industries,Total assets,Financial position,Thousand Dollars,15566329,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,15566329,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,2507990,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3106989,2013,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,399400,2013,1 and 2 and 3 and 5
Table 5,Financials - Maori Authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,449080,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Current assets,Financial position,Thousand Dollars,2961559,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2147148,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Current ratio,Financial ratios,Percent,137.9,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,154086,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,7214290,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,"Government funding, grants, and subsidies",Financial performance,Thousand Dollars,50515,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,29050,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,160941,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,"Interest, dividends, and donations",Financial performance,Thousand Dollars,182186,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Liabilities structure,Financial ratios,Percent,67.9,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Margin on sales of goods for resale,Financial ratios,Percent,17.4,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,79343,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,153153,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,408168,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Other assets,Financial position,Thousand Dollars,7726493,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,3607423,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,1876669,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Quick ratio,Financial ratios,Percent,117,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Return on equity,Financial ratios,Percent,4.8,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Return on total assets,Financial ratios,Percent,3.3,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,394420,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,2853363,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,12147765,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,585620,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,69200,2014,1 and 2 and 3 and 5
Table 5,Financials - Maori Authorities,Total all industries,Total assets,Financial position,Thousand Dollars,17902349,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,17902349,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,2694509,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3239217,2014,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,382900,2014,1 and 2 and 3 and 5
Table 5,Financials - Maori Authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,491758,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Current assets,Financial position,Thousand Dollars,3091517,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2585471,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Current ratio,Financial ratios,Percent,119.6,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,198530,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,7936690,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,"Government funding, grants, and subsidies",Financial performance,Thousand Dollars,54146,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,30633,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,154607,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,"Interest, dividends, and donations",Financial performance,Thousand Dollars,208001,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Liabilities structure,Financial ratios,Percent,65.6,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Margin on sales of goods for resale,Financial ratios,Percent,33.7,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,160212,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,326108,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,478448,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Other assets,Financial position,Thousand Dollars,8792210,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,4239482,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,1768885,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Quick ratio,Financial ratios,Percent,100.6,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Return on equity,Financial ratios,Percent,4.5,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Return on total assets,Financial ratios,Percent,2.9,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,420115,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,2716078,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,12995470,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,584662,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,62900,2015,1 and 2 and 3 and 5
Table 5,Financials - Maori Authorities,Total all industries,Total assets,Financial position,Thousand Dollars,19820417,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,19820423,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,2732982,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3304333,2015,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,355800,2015,1 and 2 and 3 and 5
Table 5,Financials - Maori Authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,414070,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Current assets,Financial position,Thousand Dollars,2612259,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,1890633,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Current ratio,Financial ratios,Percent,138.2,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,200904,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,7674841,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,"Government funding, grants, and subsidies",Financial performance,Thousand Dollars,60844,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,32176,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,137714,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,"Interest, dividends, and donations",Financial performance,Thousand Dollars,262325,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Liabilities structure,Financial ratios,Percent,72.3,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Margin on sales of goods for resale,Financial ratios,Percent,37.3,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,S,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,257635,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,456395,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Other assets,Financial position,Thousand Dollars,7803841,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,3121983,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,1673007,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Quick ratio,Financial ratios,Percent,116.3,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Return on equity,Financial ratios,Percent,-1.8,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Return on total assets,Financial ratios,Percent,-1.3,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,458353,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,2715025,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,13078326,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,S,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,-24600,2016,1 and 2 and 3 and 5
Table 5,Financials - Maori Authorities,Total all industries,Total assets,Financial position,Thousand Dollars,18090942,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,18090944,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,3486583,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3295829,2016,1 and 2 and 3
Table 5,Financials - Maori Authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,347800,2016,1 and 2 and 3 and 5
Table 5,Financials - Maori Authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,459066,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Current assets,Financial position,Thousand Dollars,2227454,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,1719507,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Current ratio,Financial ratios,Percent,129.5,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,229570,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,8466732,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,"Government funding, grants, and subsidies",Financial performance,Thousand Dollars,61317,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,33152,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,142642,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,"Interest, dividends, and donations",Financial performance,Thousand Dollars,224474,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Liabilities structure,Financial ratios,Percent,71.4,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Margin on sales of goods for resale,Financial ratios,Percent,14.8,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,111915,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,333668,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,416438,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Other assets,Financial position,Thousand Dollars,8885397,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,3889552,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,1700207,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Quick ratio,Financial ratios,Percent,102.8,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Return on equity,Financial ratios,Percent,5,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Return on total assets,Financial ratios,Percent,3.6,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,460881,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,2717422,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,13970529,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,701141,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,71100,2017,1 and 2 and 3 and 4 and 5
Table 5,Financials - Maori Authorities,Total all industries,Total assets,Financial position,Thousand Dollars,19579588,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,19579586,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,2678367,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3336881,2017,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,338200,2017,1 and 2 and 3 and 4 and 5
Table 5,Financials - Maori Authorities,Total all industries,Closing stocks,Financial performance,Thousand Dollars,544375,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Current assets,Financial position,Thousand Dollars,3197197,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Current liabilities,Financial position,Thousand Dollars,2273022,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Current ratio,Financial ratios,Percent,140.7,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Depreciation,Financial performance,Thousand Dollars,236286,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Fixed tangible assets,Financial position,Thousand Dollars,8536024,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,"Government funding, grants, and subsidies",Financial performance,Thousand Dollars,63031,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Indirect taxes,Financial performance,Thousand Dollars,33071,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Interest and donations,Financial performance,Thousand Dollars,158339,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,"Interest, dividends, and donations",Financial performance,Thousand Dollars,287990,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Liabilities structure,Financial ratios,Percent,70.2,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Margin on sales of goods for resale,Financial ratios,Percent,8.9,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Non-operating expenses,Financial performance,Thousand Dollars,49426,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Non-operating income,Financial performance,Thousand Dollars,157648,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Opening stocks,Financial performance,Thousand Dollars,516533,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Other assets,Financial position,Thousand Dollars,9015907,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Other liabilities,Financial position,Thousand Dollars,3912055,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Purchases and operating expenses,Financial performance,Thousand Dollars,1909973,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Quick ratio,Financial ratios,Percent,116.7,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Return on equity,Financial ratios,Percent,4.2,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Return on total assets,Financial ratios,Percent,3,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Salaries and wages paid,Financial performance,Thousand Dollars,501941,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Sales of goods and services,Financial performance,Thousand Dollars,2971054,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Shareholders funds or owners equity,Financial position,Thousand Dollars,14564042,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Surplus before income tax,Financial performance,Thousand Dollars,618528,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Surplus per employee count,Financial ratios,Dollars,61200,2018,1 and 2 and 3 and 4 and 5
Table 5,Financials - Maori Authorities,Total all industries,Total assets,Financial position,Thousand Dollars,20749133,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Total equity and liabilities,Financial position,Thousand Dollars,20749133,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Total expenditure,Financial performance,Thousand Dollars,2889036,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Total income,Financial performance,Thousand Dollars,3479723,2018,1 and 2 and 3 and 4
Table 5,Financials - Maori Authorities,Total all industries,Total income per employee count,Financial ratios,Dollars,344500,2018,1 and 2 and 3 and 4 and 5
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,186497,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,309134,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current liabilities,Financial position,Thousand Dollars,83611,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current ratio,Financial ratios,Percent,369.7,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Depreciation,Financial performance,Thousand Dollars,9894,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Fixed tangible assets,Financial position,Thousand Dollars,1365542,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Indirect taxes,Financial performance,Thousand Dollars,4969,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Interest and donations,Financial performance,Thousand Dollars,14216,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Liabilities structure,Financial ratios,Percent,83.7,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Opening stocks,Financial performance,Thousand Dollars,181769,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other assets,Financial position,Thousand Dollars,254059,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Other liabilities,Financial position,Thousand Dollars,230159,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Purchases and other expenses,Financial performance,Thousand Dollars,215176,2012,1 and 2 and 3 and 5
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Quick ratio,Financial ratios,Percent,146.7,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on equity,Financial ratios,Percent,2.6,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Return on total assets,Financial ratios,Percent,2.2,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Salaries and wages paid,Financial performance,Thousand Dollars,36135,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Shareholders funds or owners equity,Financial position,Thousand Dollars,1614962,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus before income tax,Financial performance,Thousand Dollars,42323,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Surplus per employee count,Financial ratios,Dollars,39100,2012,1 and 6
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total assets,Financial position,Thousand Dollars,1928720,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total equity and liabilities,Financial position,Thousand Dollars,1928720,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total expenditure,Financial performance,Thousand Dollars,280389,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income,Financial performance,Thousand Dollars,317984,2012,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Total income per employee count,Financial ratios,Dollars,293400,2012,1 and 6
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Closing stocks,Financial performance,Thousand Dollars,231162,2013,1 and 2 and 3
Table 6,Financials - Maori Authorities: Agriculture,ANZSIC06 subdivision A01,Current assets,Financial position,Thousand Dollars,348484,2013,1 and 2 and 3
